"Date","Price","Open","High","Low","Change %"
"Feb 27, 2020","0.1856","0.1852","0.1883","0.1822","0.95%"
"Feb 26, 2020","0.1838","0.1856","0.1880","0.1831","-1.24%"
"Feb 25, 2020","0.1861","0.1921","0.1921","0.1861","-0.80%"
"Feb 24, 2020","0.1876","0.1921","0.1921","0.1865","-0.21%"
"Feb 21, 2020","0.1880","0.1915","0.1915","0.1842","0.00%"
"Feb 20, 2020","0.1880","0.1855","0.1883","0.1842","0.59%"
"Feb 19, 2020","0.1869","0.1922","0.1922","0.1849","0.11%"
"Feb 18, 2020","0.1867","0.1920","0.1920","0.1845","-0.43%"
"Feb 17, 2020","0.1875","0.1916","0.1916","0.1830","-0.27%"
"Feb 14, 2020","0.1880","0.1920","0.1920","0.1845","0.21%"
"Feb 13, 2020","0.1876","0.1865","0.1891","0.1846","0.21%"
"Feb 12, 2020","0.1872","0.1831","0.1879","0.1831","1.19%"
"Feb 11, 2020","0.1850","0.1842","0.1867","0.1827","0.11%"
"Feb 10, 2020","0.1848","0.1840","0.1863","0.1810","0.05%"
"Feb 07, 2020","0.1847","0.1859","0.1869","0.1840","0.16%"
"Feb 06, 2020","0.1844","0.1853","0.1863","0.1810","-0.22%"
"Feb 05, 2020","0.1848","0.1848","0.1865","0.1825","-0.38%"
"Feb 04, 2020","0.1855","0.1845","0.1872","0.1800","0.82%"
"Feb 03, 2020","0.1840","0.1815","0.1855","0.1799","0.99%"
"Jan 31, 2020","0.1822","0.1819","0.1842","0.1792","0.28%"
"Jan 30, 2020","0.1817","0.1795","0.1827","0.1766","0.94%"
"Jan 29, 2020","0.1800","0.1799","0.1827","0.1761","0.28%"
"Jan 28, 2020","0.1795","0.1799","0.1802","0.1777","0.28%"
"Jan 27, 2020","0.1790","0.1795","0.1809","0.1761","0.00%"
"Jan 24, 2020","0.1790","0.1787","0.1804","0.1759","-0.11%"
"Jan 23, 2020","0.1792","0.1764","0.1799","0.1758","1.53%"
"Jan 22, 2020","0.1765","0.1768","0.1781","0.1756","0.28%"
"Jan 21, 2020","0.1760","0.1765","0.1771","0.1752","-0.56%"
"Jan 20, 2020","0.1770","0.1766","0.1779","0.1763","-0.23%"
"Jan 17, 2020","0.1774","0.1759","0.1774","0.1749","0.57%"
"Jan 16, 2020","0.1764","0.1771","0.1771","0.1752","0.17%"
"Jan 15, 2020","0.1761","0.1761","0.1774","0.1746","-0.34%"
"Jan 14, 2020","0.1767","0.1769","0.1777","0.1749","0.11%"
"Jan 13, 2020","0.1765","0.1756","0.1775","0.1750","-0.06%"
"Jan 10, 2020","0.1766","0.1767","0.1778","0.1753","0.57%"
"Jan 09, 2020","0.1756","0.1747","0.1766","0.1744","-0.17%"
"Jan 08, 2020","0.1759","0.1758","0.1768","0.1750","0.69%"
"Jan 07, 2020","0.1747","0.1759","0.1759","0.1726","-0.68%"
"Jan 06, 2020","0.1759","0.1756","0.1797","0.1749","0.63%"
"Jan 03, 2020","0.1748","0.1751","0.1763","0.1721","-0.17%"
"Jan 02, 2020","0.1751","0.1757","0.1764","0.1719","-0.17%"
"Jan 01, 2020","0.1754","0.1754","0.1754","0.1754","0.00%"
"Dec 31, 2019","0.1754","0.1752","0.1785","0.1752","0.34%"
"Dec 30, 2019","0.1748","0.1748","0.1763","0.1733","0.11%"
"Dec 27, 2019","0.1746","0.1762","0.1764","0.1741","-0.06%"
"Dec 26, 2019","0.1747","0.1726","0.1749","0.1722","-0.79%"
"Dec 25, 2019","0.1761","0.1761","0.1761","0.1761","0.00%"
"Dec 24, 2019","0.1761","0.1757","0.1785","0.1749","0.86%"
"Dec 23, 2019","0.1746","0.1756","0.1767","0.1744","-0.29%"
